postcode,crimes,,,,,,,,,,,,,,
2196,1437,,,,,,,,,,,,,,
2197,880,,,,,,,,,,,,,,
2198,389,,,,,,,,,,,,,,
2199,920,,,,,,,,,,,,,,
2200,4581,,,,,,,,,,,,,,
2203,656,,,,,,,,,,,,,,
2204,1901,,,,,,,,,,,,,,
2205,1220,,,,,,,,,,,,,,
2206,570,,,,,,,,,,,,,,
2207,878,,,,,,,,,,,,,,
2208,581,,,,,,,,,,,,,,
2209,692,,,,,,,,,,,,,,
2210,1723,,,,,,,,,,,,,,
2211,754,,,,,,,,,,,,,,
2212,1231,,,,,,,,,,,,,,
2213,890,,,,,,,,,,,,,,
2214,318,,,,,,,,,,,,,,
2216,1947,,,,,,,,,,,,,,
2217,1842,,,,,,,,,,,,,,
2218,553,,,,,,,,,,,,,,
2219,439,,,,,,,,,,,,,,
2220,2118,,,,,,,,,,,,,,
2221,543,,,,,,,,,,,,,,
2222,491,,,,,,,,,,,,,,
2223,640,,,,,,,,,,,,,,
2224,569,,,,,,,,,,,,,,
2225,115,,,,,,,,,,,,,,
2226,337,,,,,,,,,,,,,,
2227,521,,,,,,,,,,,,,,
2228,1552,,,,,,,,,,,,,,
2229,1436,,,,,,,,,,,,,,
2230,1904,,,,,,,,,,,,,,
2231,157,,,,,,,,,,,,,,
2232,2056,,,,,,,,,,,,,,
2233,796,,,,,,,,,,,,,,
2234,844,,,,,,,,,,,,,,
2250,6457,,,,,,,,,,,,,,
2251,1019,,,,,,,,,,,,,,
2256,1781,,,,,,,,,,,,,,
2257,1868,,,,,,,,,,,,,,
2258,368,,,,,,,,,,,,,,
2259,5217,,,,,,,,,,,,,,
2260,1147,,,,,,,,,,,,,,
2261,4369,,,,,,,,,,,,,,
2262,1552,,,,,,,,,,,,,,
2263,2791,,,,,,,,,,,,,,
2264,1088,,,,,,,,,,,,,,
2265,299,,,,,,,,,,,,,,
2267,174,,,,,,,,,,,,,,
2278,160,,,,,,,,,,,,,,
2280,1774,,,,,,,,,,,,,,
2281,886,,,,,,,,,,,,,,
2282,738,,,,,,,,,,,,,,
2283,1507,,,,,,,,,,,,,,
2284,1044,,,,,,,,,,,,,,
2285,2272,,,,,,,,,,,,,,
2286,251,,,,,,,,,,,,,,
2287,2376,,,,,,,,,,,,,,
2289,1183,,,,,,,,,,,,,,
2290,2765,,,,,,,,,,,,,,
2291,879,,,,,,,,,,,,,,
2292,644,,,,,,,,,,,,,,
2293,283,,,,,,,,,,,,,,
2294,166,,,,,,,,,,,,,,
2295,454,,,,,,,,,,,,,,
2296,338,,,,,,,,,,,,,,
2297,178,,,,,,,,,,,,,,
2298,1376,,,,,,,,,,,,,,
2299,1139,,,,,,,,,,,,,,
2300,2511,,,,,,,,,,,,,,
2302,840,,,,,,,,,,,,,,
2303,1830,,,,,,,,,,,,,,
2304,1679,,,,,,,,,,,,,,
2305,732,,,,,,,,,,,,,,
2306,705,,,,,,,,,,,,,,
2307,222,,,,,,,,,,,,,,
2308,121,,,,,,,,,,,,,,
2311,57,,,,,,,,,,,,,,
2312,100,,,,,,,,,,,,,,
2314,26,,,,,,,,,,,,,,
2315,1313,,,,,,,,,,,,,,
2316,389,,,,,,,,,,,,,,
2317,563,,,,,,,,,,,,,,
2318,664,,,,,,,,,,,,,,
2319,328,,,,,,,,,,,,,,
2320,4158,,,,,,,,,,,,,,
2321,629,,,,,,,,,,,,,,
2322,1900,,,,,,,,,,,,,,
2323,2307,,,,,,,,,,,,,,
2324,3106,,,,,,,,,,,,,,
2325,3518,,,,,,,,,,,,,,
2326,727,,,,,,,,,,,,,,
2327,955,,,,,,,,,,,,,,
2328,115,,,,,,,,,,,,,,
2329,162,,,,,,,,,,,,,,
2330,1661,,,,,,,,,,,,,,
2331,0,,,,,,,,,,,,,,
2333,1906,,,,,,,,,,,,,,
2334,194,,,,,,,,,,,,,,
2335,267,,,,,,,,,,,,,,
2336,161,,,,,,,,,,,,,,
2337,519,,,,,,,,,,,,,,
2338,59,,,,,,,,,,,,,,
2339,59,,,,,,,,,,,,,,
2340,5748,,,,,,,,,,,,,,
2341,205,,,,,,,,,,,,,,
2342,28,,,,,,,,,,,,,,
2343,523,,,,,,,,,,,,,,
2344,28,,,,,,,,,,,,,,
2345,39,,,,,,,,,,,,,,
2346,328,,,,,,,,,,,,,,
2347,139,,,,,,,,,,,,,,
2350,3617,,,,,,,,,,,,,,
2351,72,,,,,,,,,,,,,,
2352,148,,,,,,,,,,,,,,
2353,44,,,,,,,,,,,,,,
2354,237,,,,,,,,,,,,,,
2355,46,,,,,,,,,,,,,,
2356,5,,,,,,,,,,,,,,
2357,561,,,,,,,,,,,,,,
2358,172,,,,,,,,,,,,,,
2359,50,,,,,,,,,,,,,,
2360,1600,,,,,,,,,,,,,,
2361,77,,,,,,,,,,,,,,
2365,200,,,,,,,,,,,,,,
2369,145,,,,,,,,,,,,,,
2370,1167,,,,,,,,,,,,,,
2371,88,,,,,,,,,,,,,,
2372,544,,,,,,,,,,,,,,
2379,11,,,,,,,,,,,,,,
2380,1068,,,,,,,,,,,,,,
2381,79,,,,,,,,,,,,,,
2382,112,,,,,,,,,,,,,,
2386,13,,,,,,,,,,,,,,
2387,10,,,,,,,,,,,,,,
2388,459,,,,,,,,,,,,,,
2390,1029,,,,,,,,,,,,,,
2395,114,,,,,,,,,,,,,,
2396,87,,,,,,,,,,,,,,
2397,25,,,,,,,,,,,,,,
2398,12,,,,,,,,,,,,,,
2399,14,,,,,,,,,,,,,,
2400,3034,,,,,,,,,,,,,,
2401,24,,,,,,,,,,,,,,
2402,141,,,,,,,,,,,,,,
2403,30,,,,,,,,,,,,,,
2404,124,,,,,,,,,,,,,,
2405,30,,,,,,,,,,,,,,
2406,133,,,,,,,,,,,,,,
2408,11,,,,,,,,,,,,,,
2409,451,,,,,,,,,,,,,,
2410,16,,,,,,,,,,,,,,
2411,4,,,,,,,,,,,,,,
2415,92,,,,,,,,,,,,,,
2420,231,,,,,,,,,,,,,,
2421,59,,,,,,,,,,,,,,
2422,329,,,,,,,,,,,,,,
2423,314,,,,,,,,,,,,,,
2424,27,,,,,,,,,,,,,,
2425,98,,,,,,,,,,,,,,
2426,34,,,,,,,,,,,,,,
2427,118,,,,,,,,,,,,,,
